2016-04-22 13:16:01,039 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: TODOListExample:TODOListExample:0.0.1-SNAPSHOT @ D:\Projects\SwiftAcademy\Lections\Lection22\TODOListExample\pom.xml.
2016-04-22 13:16:03,593 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-22 13:16:03,602 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Projects\SwiftAcademy\Lections\Lection22\TODOListExample\src\main\resources
2016-04-22 13:16:03,606 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-22 13:16:03,615 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Projects\SwiftAcademy\Lections\Lection22\TODOListExample\src\test\resources
2016-04-22 13:16:05,242 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: TODOListExample:TODOListExample:0.0.1-SNAPSHOT @ D:\Projects\SwiftAcademy\Lections\Lection22\TODOListExample\pom.xml.
2016-04-22 13:16:05,804 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-22 13:16:05,817 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Projects\SwiftAcademy\Lections\Lection22\TODOListExample\src\main\resources
2016-04-22 13:16:05,822 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-22 13:16:05,833 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Projects\SwiftAcademy\Lections\Lection22\TODOListExample\src\test\resources
2016-04-22 13:16:07,598 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-22 13:16:07,611 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Projects\SwiftAcademy\Lections\Lection22\TODOListExample\src\main\resources
2016-04-22 13:16:07,613 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-22 13:16:07,626 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Projects\SwiftAcademy\Lections\Lection22\TODOListExample\src\test\resources
2016-04-22 16:20:03,197 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-22 16:20:03,224 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Projects\SwiftAcademy\Lections\Lection22\TODOListExample\src\main\resources
